collected_at,rank,name,appid,player_count
2026-02-19T19:45:02,4,"Wallpaper Engine",431960,46666
2026-02-19T19:45:02,5,"ARC Raiders",1808500,185146
2026-02-19T19:45:02,6,Terraria,105600,68682
2026-02-19T19:45:02,7,"HELLDIVERS™ 2",553850,82258
2026-02-19T19:45:02,8,"Overwatch®",2357570,100267
2026-02-19T19:45:02,9,"Apex Legends™",1172470,50477
2026-02-19T19:45:02,10,"Marvel Rivals",2767030,101984
2026-02-19T20:00:04,1,"Counter-Strike 2",730,779001
2026-02-19T20:00:04,2,"Dota 2",570,467849
2026-02-19T20:00:04,3,"PUBG: BATTLEGROUNDS",578080,83878
2026-02-19T20:00:04,4,"Wallpaper Engine",431960,48217
2026-02-19T20:00:04,5,"ARC Raiders",1808500,187230
2026-02-19T20:00:04,6,Terraria,105600,69273
2026-02-19T20:00:04,7,"HELLDIVERS™ 2",553850,84719
2026-02-19T20:00:04,8,"Overwatch®",2357570,102268
2026-02-19T20:00:04,9,"Apex Legends™",1172470,51729
2026-02-19T20:00:04,10,"Marvel Rivals",2767030,106965
2026-02-19T20:15:02,1,"Counter-Strike 2",730,766891
2026-02-19T20:15:02,2,"Dota 2",570,465823
2026-02-19T20:15:02,3,"PUBG: BATTLEGROUNDS",578080,86066
2026-02-19T20:15:02,4,"Wallpaper Engine",431960,48217
2026-02-19T20:15:02,5,"ARC Raiders",1808500,187230
2026-02-19T20:15:02,6,Terraria,105600,69273
2026-02-19T20:15:02,7,"Apex Legends™",1172470,52927
2026-02-19T20:15:02,8,"HELLDIVERS™ 2",553850,87145
2026-02-19T20:15:02,9,"Overwatch®",2357570,102268
2026-02-19T20:15:02,10,"Geometry Dash",322170,65537
2026-02-19T20:30:02,1,"Counter-Strike 2",730,760269
2026-02-19T20:30:02,2,"Dota 2",570,461358
2026-02-19T20:30:02,3,"PUBG: BATTLEGROUNDS",578080,89441
2026-02-19T20:30:02,4,"Wallpaper Engine",431960,49342
2026-02-19T20:30:02,5,"ARC Raiders",1808500,189024
2026-02-19T20:30:02,6,Terraria,105600,70010
2026-02-19T20:30:02,7,"Apex Legends™",1172470,54374
2026-02-19T20:30:02,8,"HELLDIVERS™ 2",553850,89864
2026-02-19T20:30:02,9,"Overwatch®",2357570,104217
2026-02-19T20:30:02,10,"Geometry Dash",322170,65020
2026-02-19T20:45:02,1,"Counter-Strike 2",730,752761
2026-02-19T20:45:02,2,"Dota 2",570,465502
2026-02-19T20:45:02,3,"PUBG: BATTLEGROUNDS",578080,93366
2026-02-19T20:45:02,4,"Wallpaper Engine",431960,52112
2026-02-19T20:45:02,5,"ARC Raiders",1808500,193006
2026-02-19T20:45:02,6,Terraria,105600,71896
2026-02-19T20:45:02,7,"Apex Legends™",1172470,56254
2026-02-19T20:45:02,8,"HELLDIVERS™ 2",553850,92319
2026-02-19T20:45:02,9,"Overwatch®",2357570,105266
2026-02-19T20:45:02,10,"Geometry Dash",322170,64678
2026-02-19T21:00:02,1,"Counter-Strike 2",730,744471
2026-02-19T21:00:02,2,"Dota 2",570,467610
2026-02-19T21:00:02,3,"PUBG: BATTLEGROUNDS",578080,97842
2026-02-19T21:00:02,4,"Wallpaper Engine",431960,53626
2026-02-19T21:00:02,5,"ARC Raiders",1808500,194703
2026-02-19T21:00:02,6,Terraria,105600,72948
2026-02-19T21:00:02,7,"Apex Legends™",1172470,57986
2026-02-19T21:00:02,8,"HELLDIVERS™ 2",553850,94102
2026-02-19T21:00:02,9,"Overwatch®",2357570,105883
2026-02-19T21:00:02,10,"Geometry Dash",322170,64053
2026-02-19T21:15:02,1,"Counter-Strike 2",730,729847
2026-02-19T21:15:02,2,"Dota 2",570,470528
2026-02-19T21:15:02,3,"PUBG: BATTLEGROUNDS",578080,97842
2026-02-19T21:15:02,4,"Wallpaper Engine",431960,53626
2026-02-19T21:15:02,5,"ARC Raiders",1808500,194703
2026-02-19T21:15:02,6,Terraria,105600,72948
2026-02-19T21:15:02,7,"Apex Legends™",1172470,57986
2026-02-19T21:15:02,8,"HELLDIVERS™ 2",553850,94102
2026-02-19T21:15:02,9,"Overwatch®",2357570,105883
2026-02-19T21:15:02,10,"Geometry Dash",322170,64053
2026-02-19T21:30:01,1,"Counter-Strike 2",730,729847
2026-02-19T21:30:01,2,"Dota 2",570,470528
2026-02-19T21:30:01,3,"PUBG: BATTLEGROUNDS",578080,112473
2026-02-19T21:30:01,4,"Wallpaper Engine",431960,56176
2026-02-19T21:30:01,5,"ARC Raiders",1808500,197165
2026-02-19T21:30:01,6,Terraria,105600,73550
2026-02-19T21:30:01,7,"Apex Legends™",1172470,61780
2026-02-19T21:30:01,8,"HELLDIVERS™ 2",553850,97202
2026-02-19T21:30:01,9,"Overwatch®",2357570,106418
2026-02-19T21:30:01,10,"Geometry Dash",322170,62219
2026-02-19T21:45:02,1,"Counter-Strike 2",730,725817
2026-02-19T21:45:02,2,"Dota 2",570,474770
